x,y,color
243,118,#7feb00
242,122,#7feb00
241,126,#006300
240,129,#7feb00
238,132,#006300
235,135,#006300
232,138,#006300
229,140,#7feb00
230,32,#ff0000
245,29,#7feb00
249,28,#7feb00
253,27,#7feb00
257,27,#7feb00
262,27,#7feb00
266,27,#7feb00
270,27,#7feb00
274,27,#7feb00
278,27,#7feb00
282,27,#7feb00
287,27,#7feb00
291,27,#7feb00
295,27,#7feb00
299,27,#7feb00
304,27,#7feb00
308,27,#7feb00
312,28,#7feb00
316,28,#7feb00
320,28,#7feb00
324,28,#7feb00
328,28,#7feb00
333,28,#7feb00
337,28,#7feb00
341,28,#ff0000
345,28,#ff0000
349,28,#7feb00
353,28,#ff0000
358,28,#ff0000
362,28,#ff0000
366,29,#ff0000
370,29,#ff0000
374,29,#7feb00
379,29,#ff0000
383,29,#ff0000
387,29,#ff0000
391,29,#ff0000
395,29,#7feb00
400,29,#ff0000
404,29,#ff0000
408,30,#ff0000
410,30,#7feb00
410,30,#006300
409,30,#ff0000
408,30,#006300
416,30,#7feb00
419,30,#7feb00
421,30,#7feb00
424,30,#7feb00
427,30,#7feb00
430,30,#7feb00
432,30,#7feb00
435,30,#006300
438,30,#006300
441,30,#7feb00
444,30,#006300
447,30,#006300
450,30,#006300
453,30,#7feb00
456,30,#006300
460,30,#7feb00
464,31,#7feb00
468,31,#7feb00
472,31,#7feb00
477,31,#7feb00
481,31,#7feb00
485,31,#7feb00
490,31,#7feb00
494,31,#7feb00
498,31,#7feb00
503,31,#7feb00
507,32,#7feb00
512,32,#7feb00
516,32,#7feb00
521,32,#7feb00
525,32,#7feb00
530,32,#7feb00
535,32,#7feb00
540,32,#7feb00
544,32,#ff0000
549,32,#ff0000
554,32,#ff0000
558,33,#ff0000
563,33,#7feb00
568,33,#ff0000
572,33,#7feb00
577,33,#7feb00
582,33,#ff0000
587,33,#ff0000
591,33,#ff0000
596,33,#7feb00
601,34,#ff0000
606,34,#7feb00
610,34,#7feb00
615,34,#7feb00
620,34,#7feb00
624,34,#7feb00
629,34,#ff0000
634,34,#7feb00
639,34,#7feb00
644,34,#7feb00
648,34,#7feb00
653,35,#7feb00
658,35,#7feb00
662,35,#7feb00
667,35,#7feb00
672,35,#7feb00
677,35,#7feb00
682,35,#7feb00
686,35,#7feb00
691,35,#ff0000
696,36,#7feb00
701,36,#ff0000
706,36,#ff0000
711,36,#ff0000
716,36,#ff0000
720,36,#ff0000
725,36,#ff0000
730,36,#7feb00
735,36,#ff0000
740,36,#ff0000
745,36,#7feb00
749,37,#ff0000
754,37,#ff0000
759,37,#ff0000
764,37,#ff0000
769,37,#ff0000
774,37,#7feb00
779,37,#ff0000
783,37,#7feb00
788,37,#7feb00
793,37,#ff0000
798,38,#7feb00
803,38,#ff0000
808,38,#ff0000
812,38,#7feb00
817,38,#7feb00
822,38,#7feb00
827,38,#7feb00
832,38,#7feb00
837,38,#7feb00
841,39,#ff0000
846,39,#7feb00
851,39,#7feb00
856,39,#ff0000
861,39,#7feb00
865,39,#7feb00
870,39,#7feb00
875,39,#7feb00
880,39,#7feb00
885,39,#7feb00
890,40,#7feb00
894,40,#7feb00
